datetime,station_id,temp,humidity,wind_speed,wind_dir,solar_rad,rainfall,station_name
2014-01-01,156,5.1,73.0,3.1,27.0,,,광주
2014-01-02,156,3.3,63.0,1.2,20.0,,,광주
2014-01-03,156,2.4,47.0,0.5,11.0,,,광주
2014-01-04,156,3.5,45.0,1.3,5.0,,,광주
2014-01-05,156,-0.7,71.0,1.7,5.0,,,광주
2014-01-06,156,-0.7,60.0,2.5,7.0,,,광주
2014-01-07,156,0.8,58.0,0.3,0.0,,,광주
2014-01-08,156,5.5,48.0,2.0,7.0,,,광주
2014-01-09,156,-0.6,53.0,3.8,2.0,,,광주
2014-01-10,156,-6.6,40.0,3.2,7.0,,,광주
2014-01-11,156,-0.6,81.0,0.5,2.0,,,광주
2014-01-12,156,-0.7,72.0,0.6,25.0,,,광주
2014-01-13,156,-2.5,59.0,1.0,27.0,,,광주
2014-01-14,156,-3.8,32.0,2.7,5.0,,,광주
2014-01-15,156,-2.3,55.0,1.3,2.0,,,광주
2014-01-16,156,-2.1,63.0,2.0,5.0,,,광주
2014-01-17,156,0.1,69.0,0.2,0.0,,,광주
2014-01-18,156,1.4,75.0,0.4,0.0,,,광주
2014-01-19,156,-1.8,57.0,1.9,2.0,,,광주
2014-01-20,156,1.4,53.0,0.6,18.0,,,광주
2014-01-21,156,-1.5,82.0,1.4,27.0,,0.2,광주
2014-01-22,156,-3.9,71.0,2.7,7.0,,,광주
2014-01-23,156,-2.1,70.0,1.5,5.0,,,광주
2014-01-24,156,0.1,62.0,0.8,5.0,,,광주
2014-01-25,156,8.8,76.0,1.0,20.0,,,광주
2014-01-26,156,3.7,74.0,1.3,2.0,,,광주
2014-01-27,156,-1.6,67.0,1.0,5.0,,,광주
2014-01-28,156,2.7,67.0,1.5,5.0,,,광주
2014-01-29,156,-0.6,61.0,0.5,32.0,,,광주
2014-01-30,156,8.6,89.0,1.5,20.0,,1.5,광주
2014-01-31,156,3.1,84.0,0.5,5.0,,,광주
2014-02-01,156,7.6,65.0,0.0,0.0,,,광주
2014-02-02,156,13.9,90.0,2.5,20.0,,,광주
2014-02-03,156,7.3,83.0,1.9,2.0,,,광주
2014-02-04,156,-3.2,51.0,4.5,2.0,,,광주
2014-02-05,156,-5.5,40.0,4.3,7.0,,,광주
2014-02-06,156,-1.4,33.0,2.3,7.0,,,광주
2014-02-07,156,1.2,46.0,3.6,5.0,,,광주
2014-02-08,156,3.6,84.0,2.8,2.0,,0.1,광주
2014-02-09,156,1.5,80.0,2.5,2.0,,,광주
2014-02-10,156,-1.7,75.0,1.7,7.0,,,광주
2014-02-11,156,1.7,64.0,5.0,7.0,,,광주
2014-02-12,156,2.3,61.0,1.2,23.0,,,광주
2014-02-13,156,1.3,64.0,0.8,9.0,,,광주
2014-02-14,156,2.9,58.0,4.9,7.0,,,광주
2014-02-15,156,0.4,59.0,3.4,7.0,,,광주
2014-02-16,156,1.1,68.0,1.3,5.0,,,광주
2014-02-17,156,6.7,52.0,0.3,0.0,,,광주
2014-02-18,156,2.8,87.0,3.4,5.0,,,광주
2014-02-19,156,1.1,63.0,1.8,5.0,,,광주
2014-02-20,156,1.8,57.0,2.7,5.0,,,광주
2014-02-21,156,0.6,58.0,2.1,2.0,,,광주
2014-02-22,156,0.0,65.0,2.2,5.0,,,광주
2014-02-23,156,2.5,62.0,0.9,5.0,,,광주
2014-02-24,156,4.1,51.0,1.6,2.0,,,광주
2014-02-25,156,5.4,56.0,1.3,2.0,,,광주
2014-02-26,156,8.8,50.0,0.4,0.0,,,광주
2014-02-27,156,7.6,84.0,0.7,36.0,,,광주
2014-02-28,156,6.1,68.0,1.2,27.0,,,광주
2014-03-01,156,8.6,72.0,0.3,0.0,,,광주
2014-03-02,156,3.8,87.0,1.3,2.0,,0.0,광주
2014-03-03,156,3.7,52.0,1.1,32.0,,,광주
2014-03-04,156,4.9,59.0,1.7,5.0,,,광주
2014-03-05,156,4.8,48.0,1.3,2.0,,,광주
2014-03-06,156,0.7,49.0,4.0,2.0,,,광주
2014-03-07,156,1.2,67.0,1.7,27.0,,,광주
2014-03-08,156,0.0,40.0,2.5,5.0,,,광주
2014-03-09,156,2.3,58.0,0.6,23.0,,,광주
2014-03-10,156,0.6,48.0,2.5,2.0,,,광주
2014-03-11,156,0.1,71.0,1.0,5.0,,,광주
2014-03-12,156,5.4,37.0,1.3,11.0,,,광주
2014-03-13,156,8.5,95.0,1.8,32.0,,4.0,광주
2014-03-14,156,3.1,85.0,1.0,32.0,,,광주
2014-03-15,156,2.1,76.0,1.4,20.0,,,광주
2014-03-16,156,7.6,75.0,0.5,14.0,,,광주
2014-03-17,156,9.1,77.0,0.2,0.0,,,광주
2014-03-18,156,13.7,92.0,2.8,25.0,,0.5,광주
2014-03-19,156,7.8,72.0,1.1,25.0,,,광주
2014-03-20,156,10.6,69.0,0.4,0.0,,,광주
2014-03-21,156,5.3,61.0,2.0,34.0,,,광주
2014-03-22,156,4.0,59.0,0.3,0.0,,,광주
2014-03-23,156,7.4,75.0,1.2,20.0,,,광주
2014-03-24,156,7.8,50.0,0.4,0.0,,,광주
2014-03-25,156,13.9,60.0,2.7,20.0,,0.0,광주
2014-03-26,156,13.5,96.0,0.1,0.0,,3.5,광주
2014-03-27,156,10.9,89.0,1.0,27.0,,,광주
2014-03-28,156,12.8,74.0,0.7,27.0,,,광주
2014-03-29,156,16.5,66.0,2.8,18.0,,,광주
2014-03-30,156,14.9,94.0,1.6,27.0,,1.5,광주
2014-03-31,156,10.1,80.0,1.2,27.0,,,광주
2014-04-01,156,10.8,68.0,2.5,23.0,,,광주
2014-04-02,156,13.3,49.0,0.5,23.0,,,광주
2014-04-03,156,12.6,40.0,1.2,23.0,,,광주
2014-04-04,156,6.2,52.0,1.7,34.0,,,광주
2014-04-05,156,5.9,56.0,0.7,20.0,,,광주
2014-04-06,156,5.0,56.0,1.5,34.0,,,광주
2014-04-07,156,6.7,66.0,1.1,20.0,,,광주
2014-04-08,156,9.4,35.0,0.1,0.0,,,광주
2014-04-09,156,10.8,53.0,1.6,23.0,,,광주
2014-04-10,156,9.6,81.0,2.0,23.0,,,광주
2014-04-11,156,13.0,69.0,2.4,20.0,,,광주
2014-04-12,156,13.5,56.0,1.6,2.0,,,광주
2014-04-13,156,15.4,48.0,1.4,27.0,,0.0,광주
2014-04-14,156,11.8,63.0,1.6,5.0,,,광주
2014-04-15,156,12.3,67.0,1.1,20.0,,,광주
2014-04-16,156,14.5,77.0,1.4,25.0,,,광주
